country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Nepal,Central,0,2746667,154450656,56,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,10,1253579,152435422,122,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,15,1217678,150151385,123,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,20,1206665,149378229,124,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,25,1192215,148300634,124,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,30,1160590,146091978,126,396636,4201017,-3804381,241265,202620,335850,313010,291631,537567,314586,567430,1207901,418754,220660,745750,92571,116408,217794,241741,637693,388586,425728,399663,566199,369214,270003
Nepal,Central,50,987704,130178151,132,331234,3489794,-3158560,218494,173139,284382,246215,220782,420222,222702,437682,961029,298552,186078,622657,80516,102171,200665,215736,573400,344928,381059,348530,513534,329467,236445
Nepal,Central,75,448752,65650511,146,176077,1334655,-1158578,158013,104257,197063,135470,120074,226596,104724,189725,527445,137807,113865,383625,43686,55768,123511,123907,307167,140478,196589,163863,227674,161423,107035
Nepal,East,0,2848465,107101646,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,East,10,960662,104364371,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,East,15,914790,101502253,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,East,20,904278,100733434,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,East,25,888000,99539643,112,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,East,30,854341,97126388,114,172570,2499195,-2326626,77850,63345,27093,326994,142694,97255,277929,176324,335505,202763,113056,317951,48152,65539,22761,112540,146181,109651,207718,202848,277665,307207,310080
Nepal,East,50,627951,76857932,122,136378,1622778,-1486400,64217,47655,18406,225923,119625,78415,215187,130317,270957,153590,93106,259634,35694,50238,17413,92488,119001,84882,164747,158992,230274,254966,250965
Nepal,East,75,210830,28952356,137,62908,368129,-305221,36732,26287,5936,85610,73560,45680,117714,57921,179053,72825,50577,151464,16211,17719,3554,34573,42715,27007,51648,47757,98775,102422,101145
Nepal,Far-Western,0,1974934,126655838,64,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Far-Western,10,945937,124180622,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Far-Western,15,922129,122536083,133,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Far-Western,20,915526,122049589,133,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Far-Western,25,906290,121359593,134,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Far-Western,30,890321,120197280,135,237065,1272804,-1035739,191019,554336,408886,216580,155115,535878,360392,329554,502452,323096,78484,673711,38255,73519,11408,27726,57190,115148,104442,137964,188977,188750,179614
Nepal,Far-Western,50,795128,110775976,139,212145,1139269,-927123,165182,501585,355491,186456,125858,477993,310539,291259,461540,271794,70822,624646,28216,66438,10519,24689,52215,105805,96750,131403,177940,178932,163274
Nepal,Far-Western,75,517521,77344865,149,147906,740754,-592849,100580,389404,219421,118670,80905,299728,214229,216986,347447,186012,49599,490632,13450,45497,5791,12547,34056,62767,56834,85908,131264,137131,102976
Nepal,Mid-Western,0,4249253,180169257,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Mid-Western,10,1427108,174427787,122,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Mid-Western,15,1394289,172203957,124,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Mid-Western,20,1381588,171255835,124,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Mid-Western,25,1370728,170443543,124,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Mid-Western,30,1339694,168024839,125,305477,1995485,-1690009,171633,278289,264304,300102,398699,344037,731843,240673,528159,188734,907729,657726,86165,283841,17546,66345,392800,181258,205084,156729,210291,207956,206022
Nepal,Mid-Western,50,1131241,147592844,130,271843,1705743,-1433900,154027,254054,228583,264005,346090,301022,665594,217488,484342,166442,825060,579208,75013,226438,15312,61608,352839,164450,179290,139274,184558,187934,179761
Nepal,Mid-Western,75,569680,79998468,140,185672,878017,-692344,112302,201291,149898,179441,241602,177841,510580,163934,390818,122356,626011,425428,33052,93879,6809,43895,200008,100805,91834,65702,110281,117803,104897
Nepal,West,0,2946930,120367383,41,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,West,10,1012670,116551118,115,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,West,15,972139,113947745,117,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,West,20,957962,112978757,118,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,West,25,943813,111987711,119,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,West,30,916095,110099452,120,200656,1789097,-1588442,172665,85044,225650,117764,536662,235998,228242,321418,203622,126998,254142,424853,167202,90718,22212,42868,48378,107618,217129,297019,285767,96062,307048
Nepal,West,50,766161,96281178,126,186830,1497651,-1310821,164640,80658,214297,104188,516872,218499,213230,308802,188505,119615,239379,410781,149396,81148,20500,36114,39125,96831,202194,272647,261295,85147,273222
Nepal,West,75,385137,53079700,138,138363,805424,-667061,144881,66150,180048,71523,441407,174780,167834,263688,147265,96953,201047,348847,81139,42420,8615,16057,19815,53300,110996,174200,170702,46569,154112
