country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Nepal,Central,Bagmati,0,941459,53476309,57,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Bagmati,10,424977,52390851,123,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Bagmati,15,411590,51528956,125,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Bagmati,20,407568,51264585,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Bagmati,25,403976,51038687,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Bagmati,30,391789,50221096,128,132871,867947,-735076,136125,43378,138088,77689,40067,110714,38282,99777,320365,70451,57352,282180,44852,48933,185252,171000,81127,145747,155593,218814,264534,194104,131609
Nepal,Central,Bagmati,50,339896,45677865,134,121711,742812,-621101,132341,40561,135429,74878,37458,103258,32321,92724,306018,63698,54031,265270,40666,43890,171315,154341,70516,125483,139476,190545,238410,172920,113796
Nepal,Central,Bagmati,75,188668,28421594,151,80896,389891,-308996,110713,33167,118596,63143,26459,82785,20367,66022,255897,45356,41286,205245,24348,27727,108904,93956,33372,61775,75940,91035,125447,90576,58484
Nepal,Central,Janakpur,0,964687,40380935,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Janakpur,10,357015,39714868,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Janakpur,15,343333,38838171,113,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Janakpur,20,339239,38525889,114,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Janakpur,25,332435,37988006,114,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Janakpur,30,319453,37036302,116,77183,1268617,-1191434,18483,18021,39855,50003,61442,110946,109723,109028,349958,178575,44840,154512,15776,14421,18373,48179,17891,51667,81776,56649,112684,73762,38647
Nepal,Central,Janakpur,50,235958,29089756,123,50179,869275,-819096,14040,15090,22101,32558,25912,53132,53697,58403,213194,93188,29082,108828,11233,11043,16154,41497,14604,42286,63983,44700,95123,63081,31183
Nepal,Central,Janakpur,75,72183,9973914,138,17481,193302,-175822,7554,7827,11082,17837,13571,14468,20047,20060,63250,16886,13334,53561,4012,3045,6055,18696,3502,12301,13251,10829,35915,25201,9773
Nepal,Central,Narayani,0,840522,60593412,72,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Narayani,10,471587,60329703,128,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Narayani,15,462756,59784258,129,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Narayani,20,459858,59587756,130,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Narayani,25,455804,59273941,130,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Central,Narayani,30,449347,58834580,131,186582,2064453,-1877871,86657,141222,157908,185317,190122,315907,166581,358625,537578,169727,118468,309058,31943,53054,14170,22562,538675,191171,188359,124200,188982,101348,99747
Nepal,Central,Narayani,50,411849,55410530,135,159345,1877707,-1718362,72113,117488,126852,138779,157413,263832,136684,286555,441817,141666,102965,248559,28616,47238,13196,19898,488280,177159,177600,113286,180001,93466,91467
