country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Nepal,Central,Bagmati,0,941459,941459,941459,23770,244,105,244,146,78,250,87,192,619,155,107,521,145,159,673,536,280,517,510,812,860,622,629,,
Nepal,Central,Bagmati,10,941459,424977,438267,23770,239,98,242,142,75,232,79,185,601,147,102,494,91,104,430,393,184,311,324,478,527,375,316,,
Nepal,Central,Bagmati,15,941459,411590,417378,23770,238,96,241,141,74,229,77,183,595,144,100,489,88,99,396,372,176,295,310,453,507,360,302,,
Nepal,Central,Bagmati,20,941459,407568,414214,23770,237,95,241,140,74,226,76,182,591,143,99,487,86,97,388,366,174,291,305,446,499,355,297,,
Nepal,Central,Bagmati,25,941459,403976,399498,23770,237,95,240,139,73,224,74,180,587,140,98,484,85,95,381,360,171,285,299,436,491,350,291,,
Nepal,Central,Bagmati,30,941459,391789,388796,23770,236,94,239,138,72,222,73,179,584,139,98,479,80,90,363,342,162,271,283,409,463,332,272,194104,131609
Nepal,Central,Bagmati,50,941459,339896,282410,23770,225,85,231,130,65,198,57,160,541,120,89,437,68,76,323,295,133,219,241,335,389,278,219,172920,113796
Nepal,Central,Bagmati,75,941459,188668,146628,23770,178,66,196,103,44,151,33,108,436,81,64,323,34,42,182,162,53,92,114,132,163,115,86,90576,58484
Nepal,Central,Janakpur,0,964687,964687,964687,15479,53,48,143,183,256,319,357,344,1196,594,123,510,67,57,88,206,62,194,262,271,388,232,215,,
Nepal,Central,Janakpur,10,964687,357015,358773,15479,41,37,99,110,155,242,239,241,831,389,91,340,37,34,52,121,39,113,170,141,241,145,87,,
Nepal,Central,Janakpur,15,964687,343333,335954,15479,39,37,92,104,145,232,228,236,812,368,87,326,35,33,45,109,37,107,162,134,229,138,81,,
Nepal,Central,Janakpur,20,964687,339239,331947,15479,38,36,89,100,133,222,215,221,740,353,86,309,35,32,44,109,37,106,160,132,227,136,80,,
Nepal,Central,Janakpur,25,964687,332435,319890,15479,36,35,86,96,131,219,212,219,736,346,84,304,34,31,43,107,35,104,158,129,224,134,78,,
Nepal,Central,Janakpur,30,964687,319453,305061,15479,36,35,85,95,130,219,210,218,732,342,83,300,31,29,41,102,32,97,150,118,212,126,73,73762,38647
Nepal,Central,Janakpur,50,964687,235958,184897,15479,25,28,42,56,50,97,94,105,424,170,51,199,21,21,35,84,25,75,111,87,166,101,55,63081,31183
Nepal,Central,Janakpur,75,964687,72183,59322,15479,12,14,21,28,25,25,32,30,114,28,22,90,6,5,11,33,5,19,20,17,48,32,11,25201,9773
Nepal,Central,Narayani,0,840522,840522,840522,10297,211,327,351,460,416,651,353,781,1182,352,230,691,96,156,35,72,1084,388,368,329,375,235,282,,
Nepal,Central,Narayani,10,840522,471587,465386,10297,190,292,312,394,371,609,325,718,1013,322,214,582,68,115,29,51,868,324,313,253,315,183,180,,
Nepal,Central,Narayani,15,840522,462756,451473,10297,186,281,302,383,363,600,319,707,993,315,211,563,66,111,28,49,848,318,307,246,309,178,173,,
Nepal,Central,Narayani,20,840522,459858,448855,10297,182,276,294,371,352,591,313,692,970,311,208,551,65,110,27,49,837,315,305,243,306,175,171,,
